sub,Win-Friend,Win-Stranger,Win-Comp,Lose-Friend,Lose-Stranger,Lose-Comp
1294,5,0,0,-2,0,0
1002,4,2,0,-3,-1,0
1302,5,0,-5,-2,-3,-5
1244,5,3,0,-2,0,0
3164,5,0,-2,-4,-5,-2
1015,5,3,0,-5,-3,0
1009,5,4,4,-5,-4,-4
1006,3,2,5,-4,-1,-2
1282,5,3,1,-4,-2,0
3122,4,3,0,-5,-4,-1
1276,3,-4,2,-4,0,-2
3176,5,3,2,-1,-2,-3
1243,2,0,0,-2,-1,0
1012,3,0,0,-3,0,0
3116,5,1,0,-4,-1,0
3143,4,-2,3,-5,-2,-2
1016,0,0,0,0,0,0
3190,5,-1,4,2,-2,2
3186,4,0,-2,-3,-1,4
3166,4,1,0,-5,-3,-1
3125,5,0,-5,-5,0,0
1021,1,1,0,1,0,0
3167,5,3,2,-2,-5,-3
1300,3,5,0,-1,0,0
1301,-1,-2,3,-3,0,0
3189,3,2,1,-4,-2,-1
1007,4,4,3,0,0,0
1011,5,5,2,-5,-5,-5
1013,5,-3,2,-4,1,-2
3173,5,-2,-4,-5,0,0
1242,0,0,0,0,0,0
1249,5,5,4,-5,-5,-4
1019,5,2,0,-3,0,0
1248,1,0,-5,-3,-5,-5
3170,5,4,3,-5,0,0
1286,4,2,3,-3,-2,-3
3152,5,2,3,-5,-1,-3
1010,1,-2,-5,2,-3,-5
1255,5,0,-1,-5,0,-2
3140,5,2,-1,-2,0,-1
1251,2,0,1,0,0,-2
1001,5,-2,5,5,0,4
